[2l1s] starting multi-start search: 128 seeds
[2l1s] seed s=0.70 q=0.010 alpha=4.32 -> chi2=2260.50
[2l1s] seed s=0.70 q=0.100 alpha=1.57 -> chi2=2296.90
[2l1s] seed s=0.70 q=0.100 alpha=3.93 -> chi2=2109.52
[2l1s] seed s=1.00 q=0.100 alpha=1.18 -> chi2=6876.07
[2l1s] seed s=1.30 q=0.010 alpha=4.32 -> chi2=2173.56
[2l1s] seed s=1.30 q=0.100 alpha=2.75 -> chi2=2257.08
[2l1s] seed s=1.60 q=0.010 alpha=1.57 -> chi2=2143.50
[2l1s] seed s=1.60 q=0.010 alpha=5.50 -> chi2=2261.02
[2l1s] seed s=0.70 q=0.010 alpha=1.96 -> chi2=2260.90
[2l1s] seed s=0.70 q=0.100 alpha=0.00 -> chi2=2296.90
[2l1s] seed s=0.70 q=0.100 alpha=3.53 -> chi2=2146.04
[2l1s] seed s=1.00 q=0.010 alpha=4.71 -> chi2=2280.66
[2l1s] seed s=1.00 q=0.100 alpha=3.93 -> chi2=3124.10
[2l1s] seed s=1.30 q=0.010 alpha=2.36 -> chi2=2257.08
[2l1s] seed s=1.30 q=0.100 alpha=3.93 -> chi2=2689.59
[2l1s] seed s=1.60 q=0.010 alpha=4.71 -> chi2=2261.02
[2l1s] seed s=1.60 q=0.100 alpha=2.75 -> chi2=2257.09
[2l1s] seed s=0.70 q=0.010 alpha=1.18 -> chi2=2123.59
[2l1s] seed s=0.70 q=0.100 alpha=2.75 -> chi2=2146.10
[2l1s] seed s=1.00 q=0.010 alpha=3.14 -> chi2=2234.24
[2l1s] seed s=1.00 q=0.100 alpha=0.00 -> chi2=8427.54
[2l1s] seed s=1.30 q=0.010 alpha=1.96 -> chi2=2257.08
[2l1s] seed s=1.30 q=0.100 alpha=4.71 -> chi2=3794.07
[2l1s] seed s=1.60 q=0.010 alpha=5.11 -> chi2=2261.02
[2l1s] seed s=1.60 q=0.100 alpha=3.53 -> chi2=2628.15
[2l1s] seed s=0.70 q=0.010 alpha=4.71 -> chi2=2260.50
[2l1s] seed s=0.70 q=0.100 alpha=0.79 -> chi2=2285.55
[2l1s] seed s=1.00 q=0.010 alpha=3.53 -> chi2=2109.52
[2l1s] seed s=1.00 q=0.100 alpha=4.71 -> chi2=4390.13
[2l1s] seed s=1.30 q=0.010 alpha=3.53 -> chi2=2942.04
[2l1s] seed s=1.30 q=0.100 alpha=1.18 -> chi2=2143.50
[2l1s] seed s=1.60 q=0.010 alpha=2.36 -> chi2=2257.08
[2l1s] seed s=0.70 q=0.010 alpha=5.89 -> chi2=2294.09
[2l1s] seed s=0.70 q=0.100 alpha=5.50 -> chi2=2140.31
[2l1s] seed s=1.00 q=0.100 alpha=1.57 -> chi2=4849.52
[2l1s] seed s=1.00 q=0.100 alpha=5.11 -> chi2=4681.62
[2l1s] seed s=1.30 q=0.100 alpha=0.00 -> chi2=3067.84
[2l1s] seed s=1.30 q=0.100 alpha=5.50 -> chi2=3642.63
[2l1s] seed s=1.60 q=0.100 alpha=1.96 -> chi2=2255.76
[2l1s] seed s=1.60 q=0.100 alpha=4.71 -> chi2=3474.91
[2l1s] seed s=0.70 q=0.010 alpha=0.00 -> chi2=2232.22
[2l1s] seed s=0.70 q=0.100 alpha=3.14 -> chi2=2146.04
[2l1s] seed s=1.00 q=0.010 alpha=1.18 -> chi2=2143.50
[2l1s] seed s=1.00 q=0.100 alpha=0.39 -> chi2=10007.82
[2l1s] seed s=1.30 q=0.010 alpha=0.39 -> chi2=2160.22
[2l1s] seed s=1.30 q=0.100 alpha=1.96 -> chi2=2183.05
[2l1s] seed s=1.60 q=0.010 alpha=0.79 -> chi2=2143.50
[2l1s] seed s=1.60 q=0.010 alpha=5.89 -> chi2=2262.43
[2l1s] seed s=1.60 q=0.100 alpha=2.36 -> chi2=2257.14
[2l1s] seed s=0.70 q=0.010 alpha=2.75 -> chi2=2259.85
[2l1s] seed s=0.70 q=0.100 alpha=0.39 -> chi2=2296.90
[2l1s] seed s=0.70 q=0.100 alpha=4.32 -> chi2=2269.53
[2l1s] seed s=1.00 q=0.010 alpha=1.96 -> chi2=2266.60
[2l1s] seed s=1.00 q=0.100 alpha=0.79 -> chi2=8798.74
[2l1s] seed s=1.30 q=0.010 alpha=4.71 -> chi2=2296.19
[2l1s] seed s=1.30 q=0.100 alpha=2.36 -> chi2=2145.66
[2l1s] seed s=1.60 q=0.010 alpha=3.53 -> chi2=2115.25
[2l1s] seed s=1.60 q=0.100 alpha=4.32 -> chi2=2512.33
[2l1s] seed s=0.70 q=0.010 alpha=5.50 -> chi2=2295.80
[2l1s] seed s=0.70 q=0.100 alpha=2.36 -> chi2=2111.93
[2l1s] seed s=1.00 q=0.010 alpha=3.93 -> chi2=2139.27
[2l1s] seed s=1.00 q=0.100 alpha=2.36 -> chi2=6975.36
[2l1s] seed s=1.30 q=0.010 alpha=0.79 -> chi2=2143.50
[2l1s] seed s=1.30 q=0.100 alpha=0.79 -> chi2=2296.90
[2l1s] seed s=1.60 q=0.010 alpha=1.96 -> chi2=2257.08
